"2023-04-27 22:25:58 [restartedMain] INFO  com.sbs.SbsVersion21Application - Starting SbsVersion21Application using Java 1.8.0_162 on DESKTOP-RKEAM2V with PID 3108 (C:\Users\shind\OneDrive\Desktop\SportsFieldBookingSystem\sbs_version2\sbs_version2-1\target\classes started by shind in C:\Users\shind\OneDrive\Desktop\SportsFieldBookingSystem\sbs_version2\sbs_version2-1)
""2023-04-27 22:25:58 [restartedMain] INFO  com.sbs.SbsVersion21Application - No active profile set, falling back to 1 default profile: "default"
""2023-04-27 22:25:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2023-04-27 22:25:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2023-04-27 22:26:01 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2023-04-27 22:26:01 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 230 ms. Found 6 JPA repository interfaces.
""2023-04-27 22:26:03 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-04-27 22:26:03 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-04-27 22:26:03 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
""2023-04-27 22:26:03 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-04-27 22:26:03 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4640 ms
""2023-04-27 22:26:03 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
